Tracks:
1: Pulse1, 75% duty
2: Pulse2, 50% duty
T: Triangle wave

By track:
00: 12T
01: 1  
02: 1  
03: 1  
04: 1  
05: 1  
06: 1  
07: 1  
08: 1  
09:   T
0A: 1  
0B:  2 
0C:  2 
0D:  2 
0E: 1  
0F:  2 
10:  2 
11:  2 
12:  2 
13:   T
14:   T
15:   T
16:   T
17:   T
18:   T
19:   T
1A:   T
1B:   T
1C:   T
1D:   T
1E:   T
1F:   T
20:   T
21:  2
22:  2
23:  2
24:  2
25: 12T
26:  2
27: 12
28: 12
29: 12
2A: 12
2B:  2
2C: 12
2D: 12
2E: 12
2F: 12
30: 12
31:  2
32: 12
33:  2
34:  2
35: 12
36: 12
37: 1 
38: 12
39: 12
3A: 12
3B:  2
3C:  2
